 ,Mean
1,76.825
2,75.303
3,74.980
4,75.113
5,76.459
6,74.731
7,74.788
8,74.683
9,74.453
10,75.077
11,74.467
12,74.379
13,74.820
14,74.430
15,74.601
16,74.117
17,74.126
18,74.614
19,74.735
20,74.631
21,74.083
22,74.098
23,74.190
24,75.103
25,74.992
26,74.282
27,74.035
28,74.397
29,74.380
30,74.877
31,78.947
32,77.346
33,77.274
34,77.851
35,78.917
36,77.783
37,76.725
38,77.033
39,76.896
40,77.290
41,77.066
42,77.207
43,76.617
44,76.968
45,76.902
46,77.419
47,77.626
48,77.592
49,77.190
50,76.901
51,77.220
52,77.648
53,77.553
54,77.661
55,77.321
56,78.658
57,77.266
58,76.938
59,77.640
60,77.383
61,76.671
62,75.064
63,74.735
64,74.898
65,76.194
66,74.604
67,74.576
68,74.475
69,74.281
70,74.852
71,74.374
72,74.227
73,74.614
74,74.263
75,74.401
76,74.081
77,74.079
78,74.492
79,74.591
80,74.504
81,74.119
82,74.149
83,74.204
84,75.099
85,74.934
86,74.330
87,74.090
88,74.471
89,74.430
90,74.870
91,79.074
92,77.389
93,77.294
94,77.814
95,78.877
96,77.895
97,76.817
98,76.984
99,76.851
100,77.174
101,77.226
102,77.243
103,76.634
104,76.875
105,76.741
106,77.625
107,77.644
108,77.654
109,77.210
110,76.794
111,77.371
112,77.738
113,77.550
114,77.684
115,77.255
116,79.108
117,77.589
118,77.078
119,77.756
120,77.425
121,76.589
122,74.993
123,74.682
124,74.803
125,76.074
126,74.542
127,74.525
128,74.438
129,74.218
130,74.764
131,74.300
132,74.180
133,74.554
134,74.198
135,74.319
136,74.020
137,74.038
138,74.455
139,74.554
140,74.455
141,74.084
142,74.110
143,74.180
144,75.047
145,74.873
146,74.259
147,74.038
148,74.415
149,74.352
150,74.790
151,79.031
152,77.334
153,77.210
154,77.743
155,78.778
156,77.848
157,76.758
158,76.904
159,76.748
160,77.087
161,77.172
162,77.195
163,76.561
164,76.746
165,76.630
166,77.588
167,77.594
168,77.621
169,77.114
170,76.702
171,77.299
172,77.668
173,77.492
174,77.544
175,77.138
176,79.044
177,77.544
178,76.977
179,77.653
180,77.314
181,76.575
182,74.987
183,74.678
184,74.802
185,76.046
186,74.553
187,74.534
188,74.443
189,74.238
190,74.763
191,74.325
192,74.185
193,74.561
194,74.222
195,74.315
196,74.043
197,74.071
198,74.471
199,74.579
200,74.471
201,74.085
202,74.132
203,74.196
204,75.072
205,74.876
206,74.235
207,74.022
208,74.412
209,74.347
210,74.785
211,79.019
212,77.329
213,77.223
214,77.757
215,78.743
216,77.876
217,76.766
218,76.904
219,76.746
220,77.047
221,77.196
222,77.207
223,76.565
224,76.720
225,76.597
226,77.614
227,77.589
228,77.608
229,77.113
230,76.678
231,77.308
232,77.651
233,77.465
234,77.502
235,77.103
236,79.062
237,77.506
238,76.925
239,77.648
240,77.288
241,76.610
242,75.019
243,74.706
244,74.817
245,76.018
246,74.603
247,74.580
248,74.492
249,74.269
250,74.791
251,74.371
252,74.229
253,74.605
254,74.237
255,74.346
256,74.080
257,74.117
258,74.526
259,74.614
260,74.507
261,74.121
262,74.167
263,74.237
264,75.090
265,74.902
266,74.238
267,74.034
268,74.415
269,74.357
270,74.789
271,79.028
272,77.349
273,77.246
274,77.760
275,78.737
276,77.908
277,76.821
278,76.934
279,76.789
280,77.080
281,77.248
282,77.268
283,76.597
284,76.752
285,76.612
286,77.683
287,77.632
288,77.649
289,77.126
290,76.695
291,77.376
292,77.686
293,77.489
294,77.491
295,77.120
296,79.114
297,77.525
298,76.983
299,77.649
300,77.291
301,76.675
302,75.071
303,74.743
304,74.812
305,75.981
306,74.690
307,74.650
308,74.533
309,74.293
310,74.786
311,74.476
312,74.292
313,74.654
314,74.267
315,74.354
316,74.160
317,74.177
318,74.578
319,74.651
320,74.519
321,74.171
322,74.228
323,74.277
324,75.101
325,74.885
326,74.270
327,74.048
328,74.442
329,74.347
330,74.752
331,79.107
332,77.414
333,77.296
334,77.796
335,78.753
336,78.005
337,76.904
338,77.004
339,76.822
340,77.116
341,77.368
342,77.359
343,76.674
344,76.799
345,76.663
346,77.840
347,77.739
348,77.745
349,77.151
350,76.745
351,77.513
352,77.794
353,77.571
354,77.515
355,77.149
356,79.186
357,77.613
358,77.062
359,77.719
360,77.320
361,76.737
362,75.111
363,74.798
364,74.891
365,76.059
366,74.752
367,74.713
368,74.613
369,74.389
370,74.883
371,74.536
372,74.353
373,74.721
374,74.358
375,74.457
376,74.212
377,74.220
378,74.648
379,74.738
380,74.607
381,74.195
382,74.252
383,74.328
384,75.180
385,74.952
386,74.264
387,74.068
388,74.471
389,74.386
390,74.807
391,79.090
392,77.428
393,77.330
394,77.845
395,78.757
396,78.007
397,76.924
398,77.044
399,76.866
400,77.139
401,77.368
402,77.393
403,76.682
404,76.830
405,76.668
406,77.842
407,77.735
408,77.749
409,77.124
410,76.752
411,77.464
412,77.780
413,77.556
414,77.503
415,77.171
416,79.162
417,77.580
418,77.033
419,77.705
420,77.313
421,76.706
422,75.093
423,74.787
424,74.875
