 ,Mean
533,75.380
534,75.355
535,75.567
536,81.442
537,76.783
538,76.059
539,76.156
540,78.422
541,85.456
542,78.941
543,76.912
544,76.350
545,75.997
546,84.337
547,78.325
548,76.606
549,76.229
550,76.137
551,85.325
552,78.180
553,76.322
554,76.059
555,76.212
556,81.884
557,77.233
558,76.366
559,76.154
560,76.238
561,82.534
562,77.602
563,76.333
564,76.155
565,75.807
566,84.363
567,77.916
568,76.668
569,76.555
570,80.245
571,84.933
572,78.243
573,76.588
574,75.853
575,76.427
576,83.247
577,78.074
578,76.360
579,76.244
580,76.214
581,85.605
582,78.327
583,76.135
584,75.787
585,75.895
586,82.300
587,76.874
588,75.497
589,75.368
590,75.494
591,82.645
592,77.052
593,75.606
594,75.430
595,75.610
596,83.516
597,77.428
598,76.264
599,76.240
600,78.420
601,90.499
602,80.809
603,77.397
604,76.508
605,76.089
606,89.221
607,80.124
608,77.066
609,76.383
610,76.241
611,90.778
612,80.237
613,76.896
614,76.248
615,76.323
616,85.486
617,78.200
618,76.746
619,76.301
620,76.350
621,86.218
622,78.997
623,76.738
624,76.307
625,75.914
626,87.503
627,79.237
628,77.047
629,76.731
630,80.319
631,90.049
632,80.222
633,77.202
634,76.043
635,76.541
636,87.740
637,80.026
638,76.950
639,76.445
640,76.369
641,91.144
642,80.576
643,76.821
644,76.020
645,76.067
646,86.336
647,78.328
648,75.875
649,75.555
650,75.665
651,86.691
652,78.612
653,76.115
654,75.631
655,75.808
656,87.027
657,78.716
658,76.732
659,76.457
660,78.568
661,96.955
662,83.962
663,78.197
664,76.664
665,76.111
666,95.590
667,83.165
668,77.798
669,76.478
670,76.246
671,96.896
672,83.668
673,77.867
674,76.433
675,76.291
676,90.737
677,79.739
678,77.285
679,76.324
680,76.278
681,91.526
682,81.247
683,77.291
684,76.315
685,75.850
686,92.453
687,81.408
688,77.514
689,76.777
690,80.246
691,96.583
692,83.406
693,78.063
694,76.105
695,76.419
696,93.784
697,83.065
698,77.774
699,76.498
700,76.297
701,97.385
702,84.157
703,77.812
704,76.149
705,76.009
706,92.010
707,80.611
708,76.227
709,75.521
710,75.582
711,92.290
712,80.992
713,76.705
714,75.611
715,75.708
716,92.187
717,80.684
718,77.253
719,76.470
720,78.414
721,102.217
722,89.092
723,79.675
724,76.996
725,76.232
726,100.930
727,88.151
728,79.134
729,76.735
730,76.347
731,101.571
732,89.064
733,79.700
734,76.829
735,76.344
736,96.488
737,82.420
738,78.337
739,76.537
740,76.341
741,96.953
742,84.901
743,78.430
744,76.516
745,75.905
746,97.744
747,85.143
748,78.512
749,77.050
750,80.259
751,101.776
752,88.592
753,79.800
754,76.388
755,76.444
756,99.213
757,88.066
758,79.344
759,76.808
760,76.383
761,102.177
762,89.757
763,79.764
764,76.558
765,76.139
766,97.840
767,84.526
768,77.104
769,75.674
770,75.671
771,98.095
772,84.950
773,77.993
774,75.811
775,75.817
776,97.987
777,84.050
778,78.412
779,76.768
780,78.415
781,106.133
782,95.417
783,82.191
784,77.618
785,76.487
786,104.921
787,94.117
788,81.444
789,77.215
790,76.584
791,105.260
792,95.247
793,82.776
794,77.585
795,76.509
796,100.868
797,86.447
798,80.212
799,76.946
800,76.514
801,100.934
802,90.119
803,80.342
804,76.905
805,76.074
806,101.642
807,90.489
808,80.260
809,77.588
810,80.391
811,105.591
812,94.871
813,82.589
814,76.964
815,76.519
816,103.121
817,94.269
818,82.054
819,77.336
820,76.589
821,106.015
822,95.950
823,82.928
824,77.354
825,76.396
826,101.971
827,90.240
828,78.625
829,75.980
830,75.866
831,102.448
832,90.574
833,80.211
834,76.207
835,76.034
836,102.436
837,89.099
838,80.381
839,77.341
840,78.484
841,109.254
842,100.356
843,85.889
844,78.462
845,76.818
846,108.102
847,99.020
848,84.770
849,77.894
850,76.866
851,108.175
852,100.008
853,87.064
854,78.682
855,76.668
856,104.168
857,91.301
858,82.941
859,77.531
860,76.697
861,103.917
862,95.499
863,83.178
864,77.477
865,76.280
866,104.611
867,96.019
868,82.843
869,78.353
870,80.522
871,108.623
872,100.051
873,86.622
874,77.804
875,76.589
876,106.193
877,99.487
878,85.929
879,78.118
880,76.844
881,109.114
882,100.815
883,87.205
884,78.597
885,76.722
886,105.143
887,96.045
888,80.969
889,76.413
890,76.098
891,105.763
892,96.496
893,83.472
894,76.775
895,76.334
896,105.752
897,94.707
898,83.319
899,78.211
900,78.520
901,111.794
902,103.945
903,90.379
904,79.656
905,77.253
906,110.698
907,102.773
908,88.770
909,78.872
910,77.281
911,110.646
912,103.607
913,91.730
914,80.233
915,76.903
916,106.943
917,95.695
918,86.430
919,78.384
920,77.002
921,106.306
922,99.698
923,86.783
924,78.288
925,76.565
926,107.092
927,100.401
928,86.271
929,79.443
930,80.710
931,111.091
932,103.826
933,91.149
934,79.088
935,76.694
936,108.770
937,103.234
938,90.516
939,79.203
940,77.246
941,111.756
942,104.396
943,91.808
944,80.434
945,77.261
946,107.854
947,100.455
948,84.291
949,77.046
950,76.425
951,108.478
952,101.180
953,87.619
954,77.684
955,76.701
956,108.398
957,99.367
958,87.023
959,79.499
960,78.548
961,113.733
962,106.755
963,94.627
964,81.093
965,77.794
966,112.800
967,105.648
968,92.585
969,80.078
970,77.795
971,112.689
972,106.392
973,95.939
974,82.085
975,77.170
976,109.277
977,99.260
978,90.124
979,79.504
980,77.431
981,108.236
982,102.934
983,90.612
984,79.384
985,76.965
986,109.180
987,103.637
988,89.897
989,80.930
990,80.929
991,113.025
992,106.760
993,95.096
994,80.788
995,76.830
996,110.919
997,106.136
998,94.633
999,80.563
1000,77.840
1001,113.798
1002,107.141
1003,95.932
1004,82.784
1005,77.971
1006,110.207
1007,103.843
1008,88.191
1009,77.908
1010,76.888
1011,110.762
1012,104.761
1013,91.832
1014,78.905
1015,77.238
1016,110.620
1017,102.913
1018,90.974
1019,81.220
1020,78.586
1021,115.184
1022,109.178
1023,98.238
1024,82.544
1025,78.514
1026,114.502
1027,108.132
1028,95.868
1029,81.537
1030,78.463
1031,114.341
1032,108.765
1033,99.497
1034,84.230
1035,77.564
1036,111.371
1037,102.071
1038,93.600
1039,80.873
1040,78.068
1041,109.922
1042,105.572
1043,94.193
1044,80.776
1045,77.474
1046,110.953
1047,106.234
1048,93.412
1049,82.692
1050,81.290
1051,114.677
1052,109.216
1053,98.537
1054,82.838
1055,77.024
1056,112.721
1057,108.448
1058,97.956
1059,82.167
1060,78.629
1061,115.388
1062,109.434
1063,99.551
1064,85.494
1065,78.917
1066,112.303
1067,106.626
1068,92.083
1069,79.073
1070,77.434
1071,112.681
1072,107.521
1073,95.625
1074,80.523
1075,77.881
1076,112.498
1077,105.809
1078,94.636
1079,83.366
1080,78.655
1081,116.320
1082,111.094
1083,101.184
1084,84.014
1085,79.298
1086,115.803
1087,110.070
1088,98.572
1089,83.035
1090,79.138
1091,115.656
1092,110.719
1093,102.552
1094,86.396
1095,77.963
1096,112.980
1097,104.285
1098,96.580
1099,82.342
1100,78.860
1101,111.288
1102,107.668
1103,97.334
1104,82.369
1105,78.100
1106,112.355
1107,108.317
1108,96.507
1109,84.593
1110,81.704
1111,116.002
1112,111.223
1113,101.532
1114,85.024
1115,77.290
1116,114.181
1117,110.310
1118,100.686
1119,83.870
1120,79.608
1121,116.670
1122,111.275
1123,102.535
1124,88.274
1125,80.055
1126,113.978
1127,108.891
1128,95.630
1129,80.492
1130,78.109
1131,114.121
1132,109.759
1133,98.861
1134,82.368
1135,78.666
1136,113.962
1137,108.194
1138,97.915
1139,85.745
1140,78.749
1141,117.438
1142,112.796
1143,103.837
1144,85.577
1145,80.191
1146,117.033
1147,111.850
1148,101.056
1149,84.592
1150,79.882
1151,116.928
1152,112.392
1153,105.305
1154,88.528
1155,78.391
1156,114.342
1157,106.234
1158,99.243
1159,83.880
1160,79.809
1161,112.506
1162,109.454
1163,100.045
1164,84.087
1165,78.842
1166,113.620
1167,110.044
1168,99.261
1169,86.507
1170,82.136
1171,117.220
1172,112.940
1173,104.175
1174,87.222
1175,77.473
1176,115.547
1177,111.899
1178,102.998
1179,85.531
1180,80.583
1181,117.835
1182,112.876
1183,105.041
1184,90.919
1185,81.215
1186,115.426
1187,110.829
1188,98.770
1189,81.980
1190,78.735
1191,115.418
1192,111.654
1193,101.595
1194,84.258
1195,79.431
1196,115.177
1197,110.135
1198,100.789
