 ,Mean
533,76.775
534,76.709
535,75.844
536,81.635
537,77.472
538,76.637
539,76.526
540,78.715
541,89.844
542,81.348
543,78.298
544,77.373
545,77.397
546,87.175
547,80.958
548,78.448
549,77.514
550,76.767
551,87.304
552,80.586
553,78.687
554,78.025
555,77.297
556,84.232
557,79.350
558,78.168
559,78.373
560,78.130
561,84.255
562,80.182
563,78.507
564,77.862
565,77.904
566,84.967
567,80.420
568,78.758
569,78.057
570,78.973
571,89.721
572,80.296
573,77.522
574,76.712
575,77.673
576,86.588
577,79.751
578,78.922
579,76.937
580,76.478
581,86.926
582,80.719
583,78.408
584,77.259
585,76.286
586,83.469
587,78.451
588,77.371
589,77.613
590,76.409
591,83.459
592,78.086
593,77.025
594,76.780
595,75.859
596,84.346
597,78.333
598,76.845
599,76.579
600,78.697
601,95.984
602,84.864
603,79.557
604,77.737
605,77.532
606,92.914
607,83.878
608,79.410
609,77.772
610,76.898
611,92.875
612,83.067
613,79.536
614,78.276
615,77.384
616,88.786
617,81.205
618,78.612
619,78.578
620,78.234
621,88.806
622,82.087
623,79.110
624,78.055
625,77.986
626,89.113
627,81.943
628,79.235
629,78.244
630,79.036
631,96.000
632,83.734
633,78.650
634,77.044
635,77.890
636,92.549
637,82.567
638,79.889
639,77.139
640,76.595
641,92.916
642,83.803
643,79.260
644,77.454
645,76.378
646,88.295
647,80.432
648,77.938
649,77.786
650,76.505
651,88.092
652,79.874
653,77.565
654,76.978
655,75.952
656,88.815
657,79.997
658,77.324
659,76.794
660,78.766
661,100.661
662,90.129
663,81.632
664,78.267
665,77.668
666,97.898
667,88.448
668,80.955
669,78.116
670,77.030
671,97.888
672,87.149
673,80.860
674,78.582
675,77.434
676,94.344
677,84.230
678,79.210
679,78.807
680,78.311
681,94.198
682,85.160
683,80.060
684,78.237
685,78.004
686,94.605
687,84.494
688,79.955
689,78.463
690,79.069
691,101.041
692,88.895
693,80.509
694,77.539
695,78.151
696,97.934
697,86.873
698,81.455
699,77.397
700,76.671
701,98.284
702,88.578
703,80.614
704,77.717
705,76.391
706,94.233
707,83.555
708,78.826
709,77.965
710,76.511
711,93.857
712,82.699
713,78.380
714,77.196
715,75.979
716,94.594
717,82.570
718,78.016
719,77.018
720,78.730
721,104.233
722,95.716
723,84.967
724,79.266
725,77.985
726,101.573
727,93.781
728,83.568
729,78.779
730,77.349
731,101.664
732,92.542
733,83.207
734,79.187
735,77.604
736,98.793
737,88.702
738,80.357
739,79.273
740,78.508
741,98.544
742,89.601
743,81.720
744,78.659
745,78.125
746,99.482
747,88.408
748,81.272
749,78.942
750,79.211
751,104.978
752,94.930
753,83.559
754,78.478
755,78.731
756,101.889
757,92.568
758,84.160
759,77.941
760,76.932
761,102.200
762,94.614
763,83.010
764,78.285
765,76.563
766,99.090
767,88.223
768,80.388
769,78.383
770,76.685
771,98.736
772,87.107
773,79.846
774,77.684
775,76.166
776,99.753
777,86.619
778,79.267
779,77.570
780,78.870
781,107.031
782,99.997
783,89.096
784,80.769
785,78.434
786,104.459
787,98.180
788,87.074
789,79.768
790,77.765
791,104.552
792,97.271
793,86.497
794,80.067
795,77.813
796,101.850
797,93.328
798,82.062
799,79.958
800,78.771
801,101.609
802,94.157
803,84.064
804,79.335
805,78.296
806,102.809
807,92.807
808,83.191
809,79.666
810,79.388
811,108.085
812,99.968
813,87.686
814,80.017
815,79.609
816,104.950
817,97.679
818,87.886
819,78.811
820,77.268
821,105.247
822,99.673
823,86.442
824,79.188
825,76.776
826,102.522
827,93.391
828,82.760
829,79.059
830,76.903
831,102.152
832,92.416
833,82.111
834,78.459
835,76.440
836,103.366
837,91.498
838,81.140
839,78.431
840,79.028
841,109.402
842,103.165
843,93.026
844,82.799
845,78.919
846,106.937
847,101.532
848,90.658
849,81.028
850,78.179
851,106.999
852,100.852
853,90.153
854,81.120
855,77.948
856,104.220
857,97.116
858,84.217
859,80.762
860,78.954
861,103.882
862,97.819
863,86.781
864,80.167
865,78.326
866,105.211
867,96.476
868,85.555
869,80.460
870,79.412
871,110.606
872,103.640
873,91.992
874,81.941
875,80.560
876,107.404
877,101.442
878,91.875
879,79.730
880,77.496
881,107.751
882,103.131
883,90.275
884,80.218
885,76.804
886,105.083
887,97.488
888,85.548
889,79.699
890,76.930
891,104.714
892,96.934
893,84.832
894,79.233
895,76.487
896,106.039
897,95.729
898,83.252
899,79.342
900,78.949
901,111.423
902,105.806
903,96.570
904,85.371
905,79.678
906,109.058
907,104.215
908,94.219
909,82.704
910,78.822
911,109.172
912,103.683
913,93.731
914,82.535
915,78.247
916,106.240
917,99.991
918,86.750
919,81.862
920,79.286
921,105.900
922,100.771
923,89.602
924,81.414
925,78.524
926,107.244
927,99.526
928,88.310
929,81.592
930,79.609
931,112.815
932,106.537
933,96.070
934,84.480
935,81.988
936,109.549
937,104.404
938,95.654
939,81.057
940,78.009
941,109.967
942,105.903
943,94.252
944,81.818
945,77.094
946,107.340
947,100.794
948,88.595
949,80.741
950,77.225
951,106.911
952,100.436
953,88.012
954,80.475
955,76.791
956,108.265
957,99.161
958,85.866
959,80.783
960,79.099
961,113.186
962,108.055
963,99.675
964,88.232
965,80.612
966,110.873
967,106.511
968,97.421
969,84.623
970,79.607
971,111.040
972,106.056
973,96.949
974,84.182
975,78.642
976,107.978
977,102.319
978,89.385
979,83.144
980,79.717
981,107.575
982,103.136
983,92.252
984,82.924
985,78.805
986,108.960
987,102.054
988,91.077
989,82.884
990,79.834
991,114.841
992,108.984
993,99.609
994,87.244
995,83.630
996,111.468
997,106.776
998,98.863
999,82.672
1000,78.629
1001,111.945
1002,108.195
1003,97.771
1004,83.734
1005,77.419
1006,109.173
1007,103.458
1008,91.470
1009,81.955
1010,77.553
1011,108.709
1012,103.104
1013,91.041
1014,81.961
1015,77.148
1016,110.076
1017,101.873
1018,88.569
1019,82.482
1020,79.260
1021,114.694
1022,109.929
1023,102.257
1024,91.073
1025,81.633
1026,112.497
1027,108.350
1028,100.226
1029,86.595
1030,80.437
1031,112.741
1032,107.984
1033,99.711
1034,85.915
1035,79.070
1036,109.384
1037,104.163
1038,91.841
1039,84.449
1040,80.113
1041,108.932
1042,104.972
1043,94.588
1044,84.516
1045,79.072
1046,110.365
1047,104.032
1048,93.554
1049,84.238
1050,80.032
1051,116.444
1052,111.035
1053,102.500
1054,89.899
1055,85.312
1056,113.147
1057,108.727
1058,101.594
1059,84.353
1060,79.319
1061,113.713
1062,110.084
1063,100.765
1064,85.747
1065,77.751
1066,110.704
1067,105.596
1068,93.975
1069,83.254
1070,77.902
1071,110.184
1072,105.239
1073,93.775
1074,83.568
1075,77.485
1076,111.558
1077,104.069
1078,91.115
1079,84.347
1080,79.406
1081,116.036
1082,111.648
1083,104.609
1084,93.842
1085,82.805
1086,113.983
1087,109.971
1088,102.641
1089,88.564
1090,81.394
1091,114.310
1092,109.657
1093,102.106
1094,87.723
1095,79.603
1096,110.688
1097,105.785
1098,94.107
1099,85.804
1100,80.598
1101,110.159
1102,106.533
1103,96.704
1104,86.180
1105,79.435
1106,111.626
1107,105.828
1108,95.834
1109,85.619
1110,80.286
1111,117.831
1112,112.869
1113,105.066
1114,92.477
1115,87.105
1116,114.643
1117,110.403
1118,103.989
1119,86.163
1120,80.124
1121,115.335
1122,111.792
1123,103.401
1124,87.820
1125,78.204
1126,112.114
1127,107.346
1128,96.236
1129,84.643
1130,78.342
1131,111.571
1132,106.986
1133,96.191
1134,85.261
1135,77.904
1136,112.857
1137,105.958
1138,93.464
1139,86.324
1140,79.614
1141,117.236
1142,113.185
1143,106.642
1144,96.412
1145,83.989
1146,115.291
1147,111.369
1148,104.686
1149,90.428
1150,82.380
1151,115.749
1152,111.155
1153,104.201
1154,89.531
1155,80.161
1156,111.892
1157,107.179
1158,96.127
1159,87.099
1160,81.061
1161,111.311
1162,107.870
1163,98.550
1164,87.753
1165,79.828
1166,112.776
1167,107.392
1168,97.842
1169,86.965
1170,80.552
1171,119.050
1172,114.426
1173,107.345
1174,94.867
1175,88.887
1176,115.969
1177,111.838
1178,106.101
1179,87.937
1180,80.985
1181,116.780
1182,113.335
1183,105.790
1184,89.747
1185,78.670
1186,113.445
1187,108.865
1188,98.242
1189,86.026
1190,78.833
1191,112.815
1192,108.478
1193,98.318
1194,86.916
1195,78.346
1196,113.993
1197,107.556
1198,95.590
1199,88.235
1200,79.811
1201,118.365
1202,114.579
1203,108.512
1204,98.808
1205,85.231
1206,116.505
1207,112.620
1208,106.454
1209,92.247
1210,83.449
1211,117.046
1212,112.535
1213,106.072
1214,91.332
1215,80.813
1216,113.033
1217,108.426
1218,97.964
1219,88.361
1220,81.573
1221,112.361
1222,109.068
1223,100.280
1224,89.280
1225,80.259
1226,113.776
1227,108.827
1228,99.686
1229,88.272
1230,80.816
1231,120.206
1232,115.881
1233,109.394
1234,97.209
1235,90.668
1236,117.166
1237,113.070
1238,107.929
1239,89.683
1240,81.889
1241,118.086
1242,114.709
1243,107.896
1244,91.609
1245,79.195
1246,114.630
1247,110.230
1248,100.045
1249,87.370
1250,79.334
1251,113.933
1252,109.763
1253,100.189
1254,88.547
1255,78.774
1256,115.000
1257,108.978
1258,97.495
1259,90.065
1260,80.025
1261,119.424
1262,115.833
1263,110.207
1264,100.968
1265,86.487
1266,117.551
1267,113.665
1268,108.003
1269,93.946
1270,84.555
1271,118.234
1272,113.759
1273,107.770
1274,93.093
1275,81.506
1276,114.061
1277,109.537
1278,99.606
1279,89.557
1280,82.085
1281,113.341
1282,110.148
1283,101.828
1284,90.710
1285,80.729
1286,114.687
1287,110.105
1288,101.284
1289,89.505
1290,81.112
1291,121.252
1292,117.150
1293,111.164
1294,99.377
1295,92.370
1296,118.304
1297,114.130
1298,109.468
1299,91.347
1300,82.796
1301,119.287
1302,115.929
1303,109.777
1304,93.341
1305,79.742
1306,115.700
1307,111.454
1308,101.641
1309,88.651
1310,79.865
1311,114.945
1312,110.933
1313,101.844
1314,90.093
1315,79.229
1316,115.881
1317,110.268
1318,99.179
1319,91.738
1320,80.226
1321,120.410
1322,116.954
1323,111.735
1324,102.965
1325,87.770
1326,118.510
1327,114.626
1328,109.362
1329,95.543
1330,85.696
1331,119.289
1332,114.897
1333,109.252
1334,94.819
1335,82.247
1336,115.040
1337,110.587
1338,101.097
1339,90.715
1340,82.576
1341,114.223
1342,111.136
1343,103.248
1344,92.079
1345,81.220
1346,115.505
1347,111.279
1348,102.742
1349,90.703
1350,81.400
1351,122.253
1352,118.320
1353,112.779
1354,101.421
1355,94.062
1356,119.413
1357,115.073
1358,110.853
1359,92.892
1360,83.768
1361,120.414
1362,117.034
1363,111.477
1364,94.964
1365,80.343
1366,116.724
1367,112.555
1368,103.146
1369,89.842
1370,80.431
1371,115.901
1372,111.970
1373,103.348
1374,91.534
1375,79.723
1376,116.709
1377,111.401
1378,100.707
1379,93.254
1380,80.445
1381,121.356
1382,117.992
1383,113.171
1384,104.840
1385,89.116
1386,119.464
1387,115.491
1388,110.579
1389,97.044
1390,86.906
1391,120.238
1392,115.931
1393,110.563
1394,96.471
1395,83.067
1396,115.980
1397,111.556
1398,102.483
1399,91.836
1400,83.124
1401,115.080
1402,112.025
