 ,Mean
1,79.487
2,79.584
3,79.825
4,80.027
5,79.617
6,78.714
7,79.420
8,79.564
9,79.811
10,80.086
11,78.650
12,79.460
13,79.444
14,80.243
15,81.222
16,77.919
17,78.523
18,78.640
19,79.110
20,79.996
21,77.755
22,78.006
23,77.999
24,78.626
25,78.901
26,78.443
27,77.774
28,77.462
29,77.846
30,78.366
31,78.785
32,77.919
33,77.162
34,76.704
35,76.686
36,77.531
37,77.386
38,76.634
39,76.346
40,75.886
41,76.846
42,76.715
43,76.343
44,75.788
45,75.236
46,75.558
47,75.644
48,75.210
49,74.552
50,73.795
51,74.718
52,75.047
53,74.544
54,73.586
55,73.012
56,80.553
57,74.273
58,73.708
59,72.866
60,72.109
61,79.032
62,78.956
63,79.140
64,79.364
65,79.120
66,77.929
67,78.637
68,78.754
69,79.045
70,79.343
71,77.848
72,78.632
73,78.591
74,79.496
75,80.569
76,77.117
77,77.607
78,77.645
79,78.253
80,79.245
81,76.978
82,77.187
83,77.083
84,77.787
85,78.161
86,77.916
87,77.185
88,76.755
89,77.161
90,77.665
91,78.344
92,77.353
93,76.522
94,76.086
95,76.103
96,77.000
97,76.727
98,75.894
99,75.647
100,75.239
101,76.255
102,76.048
103,75.652
104,75.119
105,74.628
106,75.037
107,75.124
108,74.759
109,74.132
110,73.391
111,74.237
112,74.583
113,74.090
114,73.188
115,72.652
116,80.164
117,73.938
118,73.363
119,72.571
120,71.788
121,78.999
122,78.946
123,79.129
124,79.352
125,79.082
126,77.845
127,78.550
128,78.677
129,78.971
130,79.277
131,77.753
132,78.542
133,78.491
134,79.440
135,80.552
136,77.068
137,77.531
138,77.576
139,78.213
140,79.237
141,76.937
142,77.128
143,77.031
144,77.744
145,78.125
146,77.833
147,77.135
148,76.709
149,77.113
150,77.593
151,78.297
152,77.307
153,76.460
154,76.020
155,76.014
156,76.949
157,76.660
158,75.804
159,75.546
160,75.145
161,76.163
162,75.923
163,75.536
164,75.002
165,74.508
166,74.971
167,75.038
168,74.671
169,74.039
170,73.301
171,74.186
172,74.529
173,74.034
174,73.115
175,72.569
176,80.120
177,73.895
178,73.326
179,72.498
180,71.681
181,78.974
182,78.941
183,79.118
184,79.374
185,79.068
186,77.822
187,78.532
188,78.647
189,78.956
190,79.260
191,77.724
192,78.502
193,78.446
194,79.403
195,80.545
196,77.035
197,77.482
198,77.534
199,78.182
200,79.239
201,76.911
202,77.095
203,76.998
204,77.719
205,78.134
206,77.778
207,77.098
208,76.696
209,77.094
210,77.561
211,78.270
212,77.287
213,76.439
214,75.986
215,75.990
216,76.931
217,76.624
218,75.781
219,75.491
220,75.132
221,76.126
222,75.862
223,75.467
224,74.920
225,74.471
226,74.929
227,74.986
228,74.610
229,73.962
230,73.235
231,74.145
232,74.484
233,73.980
234,73.072
235,72.503
236,80.075
237,73.855
238,73.285
239,72.455
240,71.602
241,79.024
242,78.997
243,79.180
244,79.422
245,79.118
246,77.886
247,78.594
248,78.700
249,79.008
250,79.318
251,77.776
252,78.554
253,78.493
254,79.454
255,80.625
256,77.084
257,77.555
258,77.581
259,78.250
260,79.293
261,76.934
262,77.147
263,77.058
264,77.784
265,78.170
266,77.776
267,77.131
268,76.741
269,77.141
270,77.579
271,78.309
272,77.339
273,76.502
274,76.044
275,76.009
276,76.975
277,76.681
278,75.817
279,75.525
280,75.162
281,76.168
282,75.902
283,75.498
284,74.951
285,74.480
286,74.958
287,75.029
288,74.627
289,73.977
290,73.259
291,74.183
292,74.518
293,74.004
294,73.091
295,72.527
296,80.105
297,73.864
298,73.311
299,72.477
300,71.606
301,79.038
302,78.999
303,79.194
304,79.440
305,79.109
306,77.905
307,78.585
308,78.702
309,79.017
310,79.321
311,77.790
312,78.528
313,78.467
314,79.437
315,80.624
316,77.072
317,77.517
318,77.530
319,78.223
320,79.295
321,76.928
322,77.124
323,77.017
324,77.758
325,78.159
326,77.743
327,77.103
328,76.710
329,77.109
330,77.541
331,78.312
332,77.357
333,76.513
334,76.052
335,75.983
336,77.000
337,76.697
338,75.822
339,75.541
340,75.147
341,76.214
342,75.915
343,75.492
344,74.944
345,74.479
346,74.961
347,75.009
348,74.610
349,73.971
350,73.253
351,74.183
352,74.502
353,73.996
354,73.084
355,72.518
356,80.101
357,73.853
358,73.294
359,72.456
360,71.572
361,79.063
362,79.048
363,79.241
364,79.465
365,79.132
366,77.933
367,78.626
368,78.738
369,79.056
370,79.338
371,77.828
372,78.556
373,78.509
374,79.463
375,80.666
376,77.102
377,77.527
378,77.551
379,78.259
380,79.313
381,76.945
382,77.144
383,77.035
384,77.778
385,78.179
386,77.731
387,77.100
388,76.709
389,77.124
390,77.524
391,78.341
392,77.388
393,76.534
394,76.081
395,76.010
396,77.046
397,76.736
398,75.859
399,75.566
400,75.190
401,76.256
402,75.930
403,75.505
404,74.958
405,74.491
406,74.973
407,75.015
408,74.624
409,73.971
410,73.246
411,74.181
412,74.513
413,74.014
414,73.100
415,72.519
416,80.080
417,73.857
418,73.302
419,72.458
420,71.551
421,79.070
422,79.070
423,79.262
424,79.478
425,79.143
426,77.965
427,78.652
428,78.766
429,79.074
430,79.376
431,77.855
432,78.589
433,78.515
434,79.469
435,80.687
436,77.114
437,77.547
438,77.543
439,78.272
440,79.338
441,76.941
442,77.146
443,77.030
444,77.783
445,78.184
446,77.709
447,77.096
448,76.707
449,77.122
450,77.510
451,78.353
452,77.423
453,76.561
454,76.108
455,76.011
456,77.072
457,76.769
458,75.868
459,75.590
460,75.186
461,76.299
